rotations,mass
0,.775
4,.773
8,.773
12,.771
16,.769
20,.767
24,.765
28,.764
32,.764
36,.764
40,.764
-4,.774
-8,.772
-12,.768
-16,.766
-20,.763
-24,.762
-28,.763
-32,.761
-36,.759
-40,.759
