rotations,mass
0,.581
4,.588
8,.602
12,.625
16,.657
20,.697
24,.727
28,.747
32,.756
36,.762
40,.763
-4,.584
-8,.597
-12,.625
-16,.670
-20,.717
-24,.755
-28,.818
-32,.878
-36,.919
-40,.950
