freq,X,Y
5.5,303.7,256.4
4.1,183.69,29.24
4.3,197.54,37.87
4.5,213.8,49.68
4.7,2332.8,66.59
5.1,277.2,126.80
5.3,297.2,180.24
5.5,303.3, 257.2
