list1,list2,list3
  4.7187500e+003, -1.0439140e+002,
  4.7500000e+003, -1.0439140e+002,
  4.7812500e+003, -1.0352123e+002,
  4.8125000e+003, -1.0234533e+002,
  4.8437500e+003, -1.0439140e+002,
  4.8750000e+003, -1.0439140e+002,
  4.9062500e+003, -1.0130466e+002,
  4.9375000e+003, -1.0074611e+002,
  4.9687500e+003, -1.0439140e+002,
  5.0000000e+003, -1.0131642e+002,
  5.0312500e+003, -9.8635373e+001,
  5.0625000e+003, -1.0439140e+002,
  5.0937500e+003, -1.0439140e+002,
  5.1250000e+003, -1.0439140e+002,
  5.1562500e+003, -1.0208076e+002,
  5.1875000e+003, -1.0439140e+002,
  5.2187500e+003, -1.0439140e+002,
  5.2500000e+003, -1.0439140e+002,
  5.2812500e+003, -1.0439140e+002,
  5.3125000e+003, -9.9529056e+001,
  5.3437500e+003, -9.8558939e+001,
  5.3750000e+003, -9.8911709e+001,
  5.4062500e+003, -9.8306121e+001,
  5.4375000e+003, -1.0027575e+002,
  5.4687500e+003, -1.0439140e+002,
  5.5000000e+003, -1.0405626e+002,
  5.5312500e+003, -1.0319786e+002,
  5.5625000e+003, -9.8688288e+001,
  5.5937500e+003, -1.0131642e+002,
  5.6250000e+003, -1.0405626e+002,
  5.6562500e+003, -1.0399159e+002,
  5.6875000e+003, -9.9952379e+001,
  5.7187500e+003, -1.0049329e+002,
  5.7500000e+003, -9.9781874e+001,
  5.7812500e+003, -1.0352123e+002,
  5.8125000e+003, -1.0439140e+002,
  5.8437500e+003, -1.0015228e+002,
  5.8750000e+003, -9.7835762e+001,
  5.9062500e+003, -9.9011661e+001,
  5.9375000e+003, -8.4989073e+001,
  5.9687500e+003, -7.3876831e+001,
  6.0000000e+003, -7.0237427e+001,
  6.0312500e+003, -7.3694567e+001,
  6.0625000e+003, -8.4307051e+001,
  6.0937500e+003, -9.9593730e+001,
  6.1250000e+003, -1.0382696e+002,
  6.1562500e+003, -1.0062264e+002,
  6.1875000e+003, -9.9781874e+001,
  6.2187500e+003, -9.7136102e+001,
  6.2500000e+003, -1.0164567e+002,
  6.2812500e+003, -1.0439140e+002,
  6.3125000e+003, -1.0439140e+002,
  6.3437500e+003, -1.0439140e+002,
  6.3750000e+003, -1.0439140e+002,
  6.4062500e+003, -1.0439140e+002,
  6.4375000e+003, -1.0439140e+002,
  6.4687500e+003, -1.0405626e+002,
  6.5000000e+003, -1.0260991e+002,
  6.5312500e+003, -1.0388576e+002,
  6.5625000e+003, -1.0439140e+002,
  6.5937500e+003, -1.0439140e+002,
  6.6250000e+003, -1.0316258e+002,
  6.6562500e+003, -1.0439140e+002,
  6.6875000e+003, -1.0439140e+002,
  6.7187500e+003, -1.0299796e+002,
  6.7500000e+003, -9.6889164e+001,
  6.7812500e+003, -9.5401652e+001,
  6.8125000e+003, -9.9476140e+001,
  6.8437500e+003, -1.0112240e+002,
  6.8750000e+003, -1.0439140e+002,
  6.9062500e+003, -1.0439140e+002,
  6.9375000e+003, -1.0439140e+002,
  6.9687500e+003, -1.0285097e+002,
  7.0000000e+003, -1.0432672e+002,
  7.0312500e+003, -1.0439140e+002,
  7.0625000e+003, -9.9070455e+001,
  7.0937500e+003, -1.0270986e+002,
  7.1250000e+003, -9.9952379e+001,
  7.1562500e+003, -9.8558939e+001,
  7.1875000e+003, -1.0123999e+002,
  7.2187500e+003, -1.0439140e+002,
  7.2500000e+003, -1.0130466e+002,
  7.2812500e+003, -1.0439140e+002,
  7.3125000e+003, -1.0439140e+002,
  7.3437500e+003, -1.0034630e+002,
  7.3750000e+003, -9.7553546e+001,
  7.4062500e+003, -5.7578880e+001,
